CASH,619000.4986286133
POSITIONS
Symbol,Quantity,AveragePrice,LastTrade
DRREDDY.NS,10.0,1279.4000244140625,2025-12-19 15:58:55
AMBER.NS,10.0,6681.0,2025-12-19 15:59:04
MAPMYINDIA.NS,10.0,1667.300048828125,2025-12-19 15:59:14
HDFCLIFE.NS,10.0,766.4500122070312,2025-12-19 15:59:22
NAM-INDIA.NS,10.0,885.5,2025-12-19 15:59:37
AKUMS.NS,10.0,428.0,2025-12-19 15:59:46
LICHSGFIN.NS,10.0,532.4500122070312,2025-12-19 15:59:54
KFINTECH.NS,10.0,1078.0999755859375,2025-12-19 16:00:03
INDIGO.NS,10.0,5153.5,2025-12-19 16:00:12
HONASA.NS,10.0,270.0,2025-12-19 16:00:21
JSWINFRA.NS,10.0,277.3999938964844,2025-12-19 16:00:28
TRADE_HISTORY
Symbol,Side,Quantity,Price,Time
HEG.NS,BUY,10.0,534.1500244140625,09/12/25 13:03
HEG.NS,SELL,10.0,536.5,09/12/25 15:12
DRREDDY.NS,BUY,10.0,1274.9000244140625,16/12/25 9:33
AMBER.NS,BUY,10.0,6800.0,16/12/25 9:35
MAPMYINDIA.NS,BUY,10.0,1642.800048828125,16/12/25 9:36
HDFCLIFE.NS,BUY,10.0,775.1500244140625,16/12/25 9:41
NAM-INDIA.NS,BUY,10.0,888.2999877929688,18/12/25 16:50
AKUMS.NS,BUY,10.0,427.54998779296875,19/12/25 15:05
LICHSGFIN.NS,BUY,10.0,532.4000244140625,19/12/25 15:15
KFINTECH.NS,BUY,10.0,1079.699951171875,19/12/25 15:27
INDIGO.NS,BUY,10.0,5115.0,19/12/25 15:29
HONASA.NS,BUY,10.0,270.0,19/12/25 15:30
JSWINFRA.NS,BUY,10.0,277.3999938964844,19/12/25 15:33
DRREDDY.NS,BUY,10.0,1279.4000244140625,2025-12-19 15:58:55
AMBER.NS,BUY,10.0,6681.0,2025-12-19 15:59:04
MAPMYINDIA.NS,BUY,10.0,1667.300048828125,2025-12-19 15:59:14
HDFCLIFE.NS,BUY,10.0,766.4500122070312,2025-12-19 15:59:22
NAM-INDIA.NS,BUY,10.0,885.5,2025-12-19 15:59:37
AKUMS.NS,BUY,10.0,428.0,2025-12-19 15:59:46
LICHSGFIN.NS,BUY,10.0,532.4500122070312,2025-12-19 15:59:54
KFINTECH.NS,BUY,10.0,1078.0999755859375,2025-12-19 16:00:03
INDIGO.NS,BUY,10.0,5153.5,2025-12-19 16:00:12
HONASA.NS,BUY,10.0,270.0,2025-12-19 16:00:21
JSWINFRA.NS,BUY,10.0,277.3999938964844,2025-12-19 16:00:28
